step,elapsed_sec,action,observed_protocol,throughput_mbps,rtt_ms,smoothed_rtt,cwnd,loss_rate,reward
114,5.235102,illinois,illinois,1.1,1870.022,1752.748,259.0,0.0,-185.90220000000002
115,5.267643,illinois,illinois,1.07,1878.187,1782.675,261.0,0.0,-186.7487
116,5.296787,illinois,illinois,1.079,1881.926,1798.279,262.0,0.0,-187.1136
117,5.341935,illinois,illinois,1.077,1912.035,1814.313,263.0,0.0,-190.12650000000002
118,5.376969,illinois,illinois,1.075,1926.423,1850.649,268.0,0.0,-191.56730000000002
119,5.412807,illinois,illinois,1.089,1916.29,1864.715,269.0,0.0,-190.54000000000002
120,5.464598,illinois,illinois,1.098,1937.324,1879.177,271.0,0.0,-192.6344
121,5.496854,illinois,illinois,1.082,1946.18,1887.553,272.0,0.0,-193.53600000000003
122,5.545863,illinois,illinois,1.083,1970.595,1897.936,273.0,0.0,-195.97650000000002
123,5.576672,illinois,illinois,1.078,1980.861,1933.976,276.0,0.0,-197.0081
124,5.609793,illinois,illinois,1.083,1995.019,1947.358,278.0,0.0,-198.4189
125,5.654875,illinois,illinois,1.08,2013.41,1957.498,279.0,0.0,-200.261
126,5.685538,illinois,illinois,1.075,2034.661,1973.262,281.0,0.0,-202.39110000000002
127,5.727057,illinois,illinois,1.065,2072.408,1985.656,281.0,0.0,-206.1758
128,5.76926,illinois,illinois,1.073,2073.139,2016.581,285.0,0.0,-206.2409
129,5.824942,illinois,illinois,1.062,2116.989,2029.132,286.0,0.0,-210.6369
130,5.873146,illinois,illinois,1.055,2137.847,2051.35,288.0,0.0,-212.72970000000004
131,5.911284,illinois,illinois,1.05,2133.998,2081.201,290.0,0.0,-212.34980000000002
132,5.94391,illinois,illinois,1.077,2116.335,2092.943,293.0,0.0,-210.55650000000003
133,5.989931,illinois,illinois,1.073,2148.327,2099.866,294.0,0.0,-213.75970000000004
134,6.056904,illinois,illinois,1.088,2167.192,2117.238,297.0,0.0,-215.6312
135,6.096301,illinois,illinois,1.063,2143.148,2133.022,300.0,0.0,-213.25180000000003
136,6.159779,illinois,illinois,1.081,2206.581,2144.449,301.0,0.0,-219.57710000000003
137,6.217153,illinois,illinois,1.064,2206.01,2165.869,304.0,0.0,-219.53700000000003
138,6.247036,illinois,illinois,1.072,2176.174,2178.991,307.0,0.0,-216.5454
139,6.304866,illinois,illinois,1.091,2233.826,2185.845,308.0,0.0,-222.29160000000002
140,6.334714,illinois,illinois,1.076,2227.924,2206.737,312.0,0.0,-221.71640000000002
141,6.365007,illinois,illinois,1.081,2246.994,2215.307,313.0,0.0,-223.61840000000004
142,6.395357,illinois,illinois,1.077,2259.995,2226.668,315.0,0.0,-224.9225
143,6.465217,illinois,illinois,1.082,2256.348,2241.543,317.0,0.0,-224.55280000000002
144,6.496455,illinois,illinois,1.093,2287.498,2249.024,319.0,0.0,-227.65680000000003
145,6.556817,illinois,illinois,1.078,2301.959,2261.228,321.0,0.0,-229.1179
146,6.636196,illinois,illinois,1.078,2379.104,2288.173,324.0,0.0,-236.83239999999998
147,6.664089,illinois,illinois,1.084,2327.169,2306.956,328.0,0.0,-231.6329
148,6.715543,illinois,illinois,1.09,2347.947,2312.08,329.0,0.0,-233.70470000000003
149,6.749906,illinois,illinois,1.099,2332.397,2318.494,332.0,0.0,-232.1407
150,6.774293,illinois,illinois,1.1,2347.911,2325.349,334.0,0.0,-233.69110000000003
151,6.830256,illinois,illinois,1.095,2403.973,2335.177,335.0,0.0,-239.3023
152,6.865782,illinois,illinois,1.08,2411.512,2358.567,338.0,0.0,-240.0712
153,6.894785,illinois,illinois,1.086,2418.178,2366.018,339.0,0.0,-240.7318
154,6.937226,illinois,illinois,1.083,2433.705,2374.479,340.0,0.0,-242.2875
155,6.97739,illinois,illinois,1.077,2472.049,2400.705,343.0,0.0,-246.1279
156,7.00724,illinois,illinois,1.068,2479.768,2413.371,343.0,0.0,-246.9088
157,7.038052,illinois,illinois,1.072,2491.368,2436.167,346.0,0.0,-248.0648
158,7.088659,illinois,illinois,1.074,2534.227,2448.425,347.0,0.0,-252.34869999999998
159,7.163139,illinois,illinois,1.095,2523.165,2468.682,350.0,0.0,-251.22150000000002
160,7.194472,illinois,illinois,1.069,2554.638,2507.824,353.0,0.0,-254.3948
161,7.224262,illinois,illinois,1.074,2554.973,2522.065,355.0,0.0,-254.42329999999998
162,7.275769,illinois,illinois,1.075,2592.189,2530.83,356.0,0.0,-258.14390000000003
163,7.312369,illinois,illinois,1.066,2606.31,2571.469,359.0,0.0,-259.56500000000005
164,7.345536,illinois,illinois,1.072,2609.41,2588.007,361.0,0.0,-259.86899999999997
165,7.397543,illinois,illinois,1.07,2661.455,2597.188,362.0,0.0,-265.07550000000003
166,7.425714,illinois,illinois,1.059,2670.387,2617.882,363.0,0.0,-265.9797
167,7.497296,illinois,illinois,1.079,2663.558,2627.638,366.0,0.0,-265.2768
168,7.54511,illinois,illinois,1.066,2686.068,2649.413,369.0,0.0,-267.54080000000005
169,7.595146,illinois,illinois,1.089,2669.584,2647.045,371.0,0.0,-265.8694
170,7.62143,illinois,illinois,1.082,2624.0,2652.066,374.0,0.0,-261.31800000000004
171,7.650224,illinois,illinois,1.108,2628.596,2642.877,375.0,0.0,-261.7516
172,7.677633,illinois,illinois,1.1,2655.91,2643.946,377.0,0.0,-264.491
173,7.705197,illinois,illinois,1.096,2672.616,2651.662,379.0,0.0,-266.1656
174,7.780169,illinois,illinois,1.097,2724.028,2666.242,381.0,0.0,-271.30580000000003
175,7.844851,illinois,illinois,1.107,2693.316,2674.983,384.0,0.0,-268.22459999999995
176,7.875162,illinois,illinois,1.101,2723.659,2684.834,385.0,0.0,-271.2649
177,7.90583,illinois,illinois,1.097,2738.3,2699.599,387.0,0.0,-272.73300000000006
178,7.933062,illinois,illinois,1.094,2697.923,2710.137,389.0,0.0,-268.6983
179,7.958458,illinois,illinois,1.112,2710.395,2706.477,390.0,0.0,-269.9275
180,8.017778,illinois,illinois,1.112,2749.803,2713.541,392.0,0.0,-273.8683
181,8.053404,illinois,illinois,1.104,2756.415,2725.494,394.0,0.0,-274.5375
182,8.085936,illinois,illinois,1.106,2744.387,2732.459,396.0,0.0,-273.33270000000005
183,8.126331,illinois,illinois,1.107,2784.81,2744.804,398.0,0.0,-277.37399999999997
184,8.182034,illinois,illinois,1.109,2823.116,2760.926,399.0,0.0,-281.2026
185,8.217281,illinois,illinois,1.107,2804.822,2792.1,403.0,0.0,-279.3752
186,8.266467,illinois,illinois,1.107,2853.882,2799.823,404.0,0.0,-284.2812
187,8.295606,illinois,illinois,1.097,2881.436,2825.145,406.0,0.0,-287.04660000000007
188,8.333502,illinois,illinois,1.109,2836.871,2830.761,408.0,0.0,-282.57810000000006
189,8.406844,illinois,illinois,1.126,2861.185,2830.449,410.0,0.0,-284.9925
190,8.464571,illinois,illinois,1.107,2908.877,2854.366,413.0,0.0,-289.78069999999997
191,8.501674,illinois,illinois,1.106,2907.625,2879.301,416.0,0.0,-289.6565
192,8.542623,illinois,illinois,1.122,2886.834,2887.981,419.0,0.0,-287.5614
193,8.576483,illinois,illinois,1.115,2921.455,2896.658,421.0,0.0,-291.0305
194,8.63512,illinois,illinois,1.135,2908.155,2894.121,422.0,0.0,-289.68050000000005
195,8.664901,illinois,illinois,1.111,2937.958,2904.807,424.0,0.0,-292.68480000000005
196,8.726792,illinois,illinois,1.107,2992.274,2925.656,425.0,0.0,-298.12039999999996
197,8.754329,illinois,illinois,1.109,2985.035,2956.504,428.0,0.0,-297.3945
198,8.781176,illinois,illinois,1.121,2956.27,2955.264,429.0,0.0,-294.50600000000003
199,8.81612,illinois,illinois,1.115,2991.182,2961.943,431.0,0.0,-298.0032
200,8.846484,illinois,illinois,1.13,2959.066,2959.125,433.0,0.0,-294.7766
201,8.877623,illinois,illinois,1.124,2966.67,2962.053,435.0,0.0,-295.543
202,8.959531,illinois,illinois,1.126,3048.483,2975.232,437.0,0.0,-303.7223000000001
203,9.024952,illinois,illinois,1.112,3081.758,3002.972,439.0,0.0,-307.06379999999996
204,9.077666,illinois,illinois,1.116,3080.673,3021.898,442.0,0.0,-306.9513
205,9.117082,illinois,illinois,1.102,3119.941,3034.154,443.0,0.0,-310.8921
206,9.157315,illinois,illinois,1.1,3100.345,3052.804,445.0,0.0,-308.93449999999996
207,9.19488,illinois,illinois,1.117,3117.521,3070.617,448.0,0.0,-310.6351
